feature,importance
perceived trainingSuccess.2,-0.09974937343358399
perceived recovery,-0.09975153400743239
total km.6,-0.09975153400743239
perceived exertion.4,-0.09975381243076345
perceived recovery.5,-0.09975574529544202
total km Z3-Z4-Z5-T1-T2.1,-0.09975802371877304
max km Z5-T1-T2 one day.2,-0.09981203007518799
total km Z3-Z4-Z5-T1-T2,-0.09981203007518799
perceived recovery.1_roll7_std,-0.09981646907236745
perceived trainingSuccess.3,-0.09981646907236746
min recovery,-0.09982295878370814
rel total kms week 0_2,-0.09993734335839602
max km one day.1,-0.09993962178172708
total kms.2,-0.09998093264062738
perceived exertion,-0.10000000000000002
nr. rest days.2,-0.10000000000000002
max recovery,-0.10000000000000002
perceived trainingSuccess.1,-0.10000000000000002
max training success.1,-0.10000000000000002
avg recovery.2,-0.10000000000000002
perceived trainingSuccess.2_roll7_mean,-0.10000899584384157
min exertion.2,-0.1000649350649351
total kms,-0.1000649350649351
perceived exertion.2,-0.10006721348826612
min training success.2,-0.1000694919115972
avg exertion,-0.10012987012987015
total kms.1,-0.10012987012987015
nr. days with interval session.2,-0.10012987012987015
perceived trainingSuccess,-0.10019480519480521
perceived exertion_roll7_mean,-0.10019708361813626
strength training.1_roll7_std,-0.10021355718047839
max recovery.2,-0.10025974025974027
avg recovery,-0.10025974025974027
avg training success.2,-0.10026173808906505
max recovery.1,-0.10026214526214527
perceived recovery_roll3_mean,-0.10026214526214527
min recovery.2,-0.10026617708624452
min training success.1,-0.10026682868788131
total km Z5-T1-T2,-0.10032467532467533
total km Z3-Z4-Z5-T1-T2.2,-0.10032467532467533
perceived exertion.6,-0.100336709889838
perceived exertion.2_roll7_std,-0.1003944203944204
total km.5,-0.10046430159637705
avg training success,-0.10049578491683757
avg exertion.1,-0.10053164166371713
perceived trainingSuccess.1_roll7_mean,-0.10066914566914567
perceived exertion.3,-0.10073379799794897
perceived exertion_roll7_std,-0.10074143187350733
min training success,-0.1007488256424427
perceived trainingSuccess.6,-0.10075388530701342
max training success,-0.10076749360031094
perceived recovery_roll7_mean,-0.10081444165239947
total km.1,-0.10098412780968562
min exertion.1,-0.10102633215840764
avg exertion.2,-0.10103230657614677
min exertion,-0.10107063389619172
max km one day.2,-0.10110731750327254
perceived exertion_roll3_std,-0.10123117623117625
max exertion,-0.10123925094513334
perceived trainingSuccess.4,-0.10140056022408965
total km.3,-0.10165483035319393
total km,-0.1021460584233694
total km.4,-0.10379359205908698
strength training_roll7_mean,-0.14843741868332033
nr. sessions,-0.14941984178438752
nr. strength trainings.1,-0.15000000000000005
nr. rest days.1,-0.15000000000000005
total km Z5-T1-T2.1,-0.1500022784233311
min recovery.1,-0.15012987012987017
max km Z5-T1-T2 one day.1,-0.15012987012987017
rel total kms week 1_2,-0.15019480519480521
total km Z5-T1-T2.2,-0.15019480519480521
perceived trainingSuccess_roll7_mean,-0.15032467532467533
max training success.2,-0.15077427732226498
strength training.1_roll7_mean,-0.150801138065289
avg recovery.1,-0.15096452567040805
nr. sessions.1,-0.15143427025982809
perceived recovery.1_roll7_mean,-0.20025676937441644
